,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
748,"By 1998, the earnings gap between both men and women college graduates in the United States and those with only a high school diploma increased to",118 percent for men and 98 percent for women.,"by 1998, the earnings gap between both men and women college graduates in the United States and those with only a high school diploma increased to",118 percent for men and 98 percent for women,,,,RULE BASED,,,
749,Income taxes,provide the largest source of federal revenue.,income taxes,provide the largest source of federal revenue,What do income taxes do for the federal government,na,na,,1,,
750,"When a country saves a smaller portion of its GDP, it will have","less investment, and so have less capital and lower productivity.","When a country saves a smaller portion of its GDP, it will have","less investment, and so have less capital and lower productivity",What happens when a country saves less of its GDP,na,na,,1,,
751,"In the United States, to become a member of a political party you need to",claim to be a member.,"in the United States, to become a member of a political party you need to",claim to be a member,,,,RULE BASED,,,
752,"A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers, this demonstrates",assimilation.,"a child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers, this demonstrates",assimilation,How does a child learn to get his or her way with younger siblings,na,na,,0,,
753,The largest area of specialization among psychologists is,clinical and counseling.,the largest area of specialization among psychologists is,clinical and counseling,What is the largest area of specialization among psychologists?,,,RULE BASED,1,,
754,"Since a firm’s demand for a factor of production comes from its decision to supply a good in the market, we refer to this type of demand as",derived demand.,"since a firm’s demand for a factor of production comes from its decision to supply a good in the market, we refer to this type of demand as",derived demand,"since a firm ’ s demand for a factor of production comes from its decision to supply a good in the market , what does we refer to this type of demand as?",,,RULE BASED,1,,
755,The fastest growing form of local government in the United States is,special district.,the fastest growing form of local government in the United States is,special district,What is the fastest growing form of local government in the United States?,,,RULE BASED,1,,
756,The main purpose of the Organization of American States (OAS) is to,provide a way to resolve regional problems peacefully,the main purpose of the Organization of American States (OAS) is to,provide a way to resolve regional problems peacefully,,,,RULE BASED,,,
757,The three basic emotions which appear to be unlearned but take time to develop are,"anger, fear, joy.",the three basic emotions which appear to be unlearned but take time to develop are,"anger, fear, joy",What are the three basic emotions which appear to be unlearned but take time to develop?,,,RULE BASED,1,,
758,Which statement about the Ottoman Empire is supported by the facts?:,the Ottomans were generally tolerant of the diverse peoples in their empire.,Which statement about the Ottoman Empire is supported by the facts?,the Ottomans were generally tolerant of the diverse peoples in their empire,What statement about the Ottoman empire is supported by facts,Did the Ottoman Empire allow religious freedom?,na,,1,0,
759,"In the states, making laws is the legal function of",state legislatures.,"in the states, making laws is the legal function of",state legislatures,Is the function of legislature to make laws?,Do state legislatures make laws?,Who makes the laws in the states?,,0,0,1
